,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
782,22:10,Волгоград,,SU 1187Аэрофлот,B,ПрилетелВыдача багажа: лента 3
783,Совершил посадку в 21:49,Совершил посадку в 21:49,,SU 1187Аэрофлот,B,ПрилетелВыдача багажа: лента 3
784,22:10,Волгоград,,"KL 3219, AZ 4369KLM, Alitalia",B,ПрилетелВыдача багажа: лента 3
785,Совершил посадку в 21:49,Совершил посадку в 21:49,,"KL 3219, AZ 4369KLM, Alitalia",B,ПрилетелВыдача багажа: лента 3
786,22:10,Симферополь,,N4 134Nordwind,D,ПрилетелВыдача багажа: лента 4
787,Совершил посадку в 22:05,Совершил посадку в 22:05,,N4 134Nordwind,D,ПрилетелВыдача багажа: лента 4
788,22:15,Минеральные Воды,,KL 3287KLM,B,ПрилетелВыдача багажа: лента 1
789,Совершил посадку в 21:51,Совершил посадку в 21:51,,KL 3287KLM,B,ПрилетелВыдача багажа: лента 1
790,22:15,Минеральные Воды,,SU 1303Аэрофлот,B,ПрилетелВыдача багажа: лента 1
791,Совершил посадку в 21:51,Совершил посадку в 21:51,,SU 1303Аэрофлот,B,ПрилетелВыдача багажа: лента 1
792,22:20,Ростов-на-Дону,,SU 1161Аэрофлот,B,ПрилетелВыдача багажа: лента 6
793,Совершил посадку в 21:45,Совершил посадку в 21:45,,SU 1161Аэрофлот,B,ПрилетелВыдача багажа: лента 6
794,22:20,Карши,,N4 6512Nordwind,D,Нет актуальной информации о статусе
795,,,,N4 6512Nordwind,D,Нет актуальной информации о статусе
796,22:25,Санкт-Петербург,,N4 148Nordwind,D,ПрилетелВыдача багажа: лента 1
797,Совершил посадку в 22:13,Совершил посадку в 22:13,,N4 148Nordwind,D,ПрилетелВыдача багажа: лента 1
798,22:30,Сочи,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 2
799,Совершил посадку в 22:09,Совершил посадку в 22:09,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 2
800,22:40,Санкт-Петербург,,SU 27Аэрофлот,B,ПрилетелВыдача багажа: лента 5
801,Совершил посадку в 22:20,Совершил посадку в 22:20,,SU 27Аэрофлот,B,ПрилетелВыдача багажа: лента 5
802,23:00,Сочи,,N4 2222Nordwind,D,Нет актуальной информации о статусе
803,,,,N4 2222Nordwind,D,Нет актуальной информации о статусе
804,23:05,Краснодар,,KL 2889KLM,B,ПрилетелВыдача багажа: лента 4
805,Совершил посадку в 22:39,Совершил посадку в 22:39,,KL 2889KLM,B,ПрилетелВыдача багажа: лента 4
806,23:05,Краснодар,,SU 1107Аэрофлот,B,ПрилетелВыдача багажа: лента 4
